;Titulo;Sinopsis;Genero
2638;Harry's Law;"
    
              La serie narra la vida de Harry Korn, una abogada con mucha dejadez laboral. Esto provoca que la despidan. Después de esto, sufre dos accidentes con los que está a punto de morir. Esto la hace reflexionar y decide abrir su propio bufete de abogados junto con una secretaria de su anterior trabajo, el joven que provocó el segundo accidente y un cliente acusado por asuntos de drogas como su asistente.La serie está protagonizada por Kathy Bates con David E. Kelley y Bill E'Elia como productores delegados.
    
      ";Comedia, Drama, Judicial
2639;Hasta el fin del mundo: Te amaré;"
    
              Adaptación de la telenovela argentina Dulce Amor. Hasta el fin del mundo: Te amaré es una producción mejicana cuya trama gira en torno a Sofía, la mayor de una familia de tres hermanas, que toma las riendas de la empresa familiar tras el fallecimiento de su padre. El prometido de Sofía, Patriciio, ve la oportunidad perfecta para alcanzar su verdadero objetivo, la riqueza, a través de la fábrica de chocolates que ahora regenta su novia. Sin embargo, Sofía conoce a Salvador, un ex piloto de carreras que tras un golpe del destino acaba trabajando como chófer. Pese a los obstáculos del camino, Sofía y Salvador demostraran que su amor llegará hasta el fin del mundo.
    
      ";Drama
2640;Hattori el Ninja;"
    
              'Hattori el Ninja' es un anime de televisión que se centra en el nija Hanzo Hattori y las aventuras que vive junto a su hermano Shinzo,su perro Shishimaru y Kenichi. Basado en el manga creado por Fujiko Fujio y desarrollada por los estudios Shin-Ei Animation, la serie de animación cuenta con casi 700 capítulos en antena, siendo su estreno en televisión en septiembre de 1981.
    
      ";Aventura, Animación
2641;Heidi;"
    
              Después de la muerte de sus padres, Heidi se marcha a vivir con su abuelo a las montañas. Este hombre es temido por los residentes cercanos; sin embargo, la niña resulta encantadora y comienza a ayudar a Pedro, su nuevo amigo que tiene cabras en los pastos de los Alpes. A Heidi le agrada su nueva vida, hasta el día en que su tía regresa para realizar su educación en Frankfurt con una familia rica. Heidi tendrá que luchar para adaptarse a esta nueva vida lejos de lo que ama...
    
      ";Aventura, Drama, Animación
2642;Heidi (2013);"
    
              En esta nueva versión de la clásica serie de televisión el argumento no varía. Heidi es una niña huérfana que vive con su abuelo en los Alpes. Allí conoce a Pedro, Clara y la Señorita Rottenmeier. Se refuerzan los valores positivos que transmite la niña a través de la alegría.Heidi es una serie de animación en 3D que se ha presentado en Francia, Australia, Alemania y Bélgica. Se basa en el libro de Johanna Spyri. Es el tercer clásico animado de 1970 tras La abeja Maya y Vicky el Vikingo reeditado en formato de animación por ordenador.La aparición de las figuras ha sido tomada en gran parte de la serie animada del mismo nombre del año 1974. Está dirigida por Jérôme Mouscadet y escrita por Christel Gonnard. La canción en esta nueva versión la canta la estrella de la música popular Andreas Gabalier.
    
      ";Aventura, Animación
2643;Hellfire;"
Hellfire es una serie de televisión dramática que combina elementos de acción y fantasía basada en los personajes de Marvel Comics que pertenecen a la sociedad secreta de villanos denominada como El Club del Fuego Infernal (Hellfire Club). Estos personajes, conocidos por sus apariciones en los cómics de la Patrulla X, usan sus habilidades especiales y poderes mutantes para hacerse con el poder y dominar el mundo. El Club del Fuego Infernal cuenta entre sus miembros con los más famosos, ricos e influyentes miembros de la sociedad, lo que no ha impedido que desde esta organización secreta se haya participado en guerras y asesinatos para promover las agendas de los miembros más poderosos del Club.Ambientada a finales de la década de los 60, Hellfire es una de las dos colaboraciones en la producción de proyectos televisivos realizada entre Fox y Marvel. Una versión de estos personajes de la Casa de las Ideas se pudo ver en la película dirigida por Bryan Singer. X-Men: Primera Generación (2011).Evan Katz, Manny Coto, Patrick McKay y JD Payne son co-creadores de este drama. McKay y Payne, asimismo, son los autores del guión del piloto. Bryan Singer, Simon Kinberg, Jeph Loeb y Jim Chory ejercen de productores ejecutivos junto a Katz y Coto, quienes harán de 'showrunners' de esta nueva producción.
    
      ";Fantasía, Acción, Doramas
2644;Hello Kitty;"
Serie de animación japonesa enfocada al público infantil en la que Kitty es una gatita que vive con su familia, compuesta por su madre, su padre y su hermana gemela Mimmy -igual que Kitty pero viste con ropa de colores diferentes-. A lo largo de sus capítulos cuenta las peripecias que esta famosa gatita vive con sus amigos.
";Animación, Familia
2645;Henry, el monstruo feliz;"
    
              Henry es un joven monstruo de tan sólo cinco años que vive con sus padres Popá y Momá y sus tres hermanos en un lugar llamado Villarugido. Henry vivirá numerosas aventuras junto a sus amigos y, a pesar, de lo caótico que puede resultar todo en casa con su familia numerosa siempre mantiene su sonrisa en la cara. Junto a él los niños aprenderán grandes valores como la amistad, el amor, la solidaridad y la ayuda a los demás. La serie es una creación de Niamh Sharkey, quien también forma parte del equipo de guionistas de la misma. De origen irlandés y británico, la serie es una nimación en 3D dirigida a los más pequeños de la casa. En su versión original cuenta con las voces de Lara Jill Miller ('Digimon: la película', 'Gimme a break!') como el protagonista Henry, Hynden Walch ('Atrapado en el tiempo', 'Jerry Maguire') como Summer, Tom Kenny  ('Bob Esponja', Descubriendo a los Robinsons') dando voz al padre de Henry y Lori Alan ('Toy Story 3', 'Gru-mi villano favorito 2') como la padre del pequeño monstruo.
    
      ";Animación
2646;Hermanos de leche;"
    
              Juan ""el Gordi"" y Chus son dos hombres con vidas totalmente distintas que tienen una cosa en común. Cuando eran bebés, ambos compartieron la misma nodriza convirtiéndose así en hermanos de leche. Tras años sin verse ni saber nada el uno del otro, se encuentran por casualidad y descubren que sus vidas han sido más similares de lo que pensaban: los dos acaban de divorciarse y están en la calle. Ven un paso lógico convertirse en compañeros de piso y así lo hacen, iniciando un nuevo periodo en sus vidas que estará marcado por sus ex mujeres y sus nuevos vecinos.La serie está protagonizada por José Coronado (Periodistas, El cuerpo) como Chus y Juan Echanove (Cuéntame cómo pasó) como su hermano de leche, Juan. Cristina Higueras es Leonor, la ex mujer de Juan y Fiorella Faltoyano es Elena, la ex mujer de Chus. Completan el reparto Ingrid Asensio, Elisa Montés, Sergio García del Valle, Pastora Vega, Leonor Watling, Daniel Guzmán, Alaska y Rossy de Palma, entre otros. En la última temporada, el papel de Juan fue interpretado por El Gran Wyoming (El intermedio).Pablo Ibáñez y Carlos Serrano son los directores mientras que el equipo de guionistas está compuesto por Santiago Moncada e Ignacio del Moral. José Frade Producciones es la productora responsable de Hermanos de leche, que tuvo un total de 56 episodios en cuatro temporadas. El primer episodio vio la luz 10 de abril de 1994 y el último llegó el 17 de abril de 1996.
    
      ";Comedia
2647;Hibana;"
Hibana (Spark) cuenta la historia de un infame y poco célebre comediante de poca monta y su relación con un comediante mayor y más experimentado que le sirve como mentor. Entre ellos, que deben coexistir en este mundillo tan competitivo, nace la amistad y tienen que aprender a apoyarse en el camino. Además, descubren que aún tienen mucho por descubrir sobre el talento, la inspiración, y lo que significa ser humano.Basada en la novela best seller del mismo nombre escrita por el humorista, poeta autor de haikus y guionista Naoki Matayoshi y publicada en el 2015, esta serie de comedia es la primera producción original de Netflix en Japón.
";Comedia, Drama
2648;High Hopes;"
    
              Richard ""Fagin"" Hepplewhite es un ex-criminal agorafóbico que tiene un negocio desde su casa en los valles de Gales, tras haber servido en la prisión de Strangeways. Vive con su madre y dos adolescentes llamado Charlie y Hoffman. La convivencia entre ellos a veces es dura, pero siempre concluye con situaciones divertidas.
    
      ";Comedia
2649;High Rise;"
High Rise es una serie dramática desarrollada por HBO, creada por Cami Delavigne (co autora del guión de la cinta de 2010 Blue Valentine) y producida por The Firm en colaboración con The Weinstein Company.Con un guión escrito por la propia Delavigne, High Rise es un drama de personajes ambientado en el mundo de lujo de la arquitectura en Nueva York que sigue a un brillante y talentoso arquitecto frustrado que se ve seducido por la hija de un multimillonario. Una vez que estos dos individuos crucen su camino, ella será la responsable de acoger y apoyar los proyectos de esta joven promesa de la arquitectura para lanzar su carrera y convertirlo en una celebridad en su área.Delavigne, creadora de este proyecto, ha sido la encargada de desarrollar guiones para Sundance TV y ha trabajado en la serie de AMC The Son. Además, ha participado como supervisora de producción y editora en la serie de ABC Quantico.
";Drama
2650;High School Musical;"
    
              La serie de televisión de High School Musical, que nació como una trilogía cinematográfica dirigida por Kenny Ortega, narra nuevos acontecimientos musicales con nuevos protagonistas. El legado de Troy, Grabiella y compañía continúa en esta cómica ficción musical de la pequeña pantalla que cuenta con un reparto protagonista renovado. Disney está detrás de este proyecto juvenil que es una de las producciones originales para su plataforma en 'streaming'.
    
      ";Comedia, Drama, Comedia musical
2651;Highston;"
    
              Highston Ligget (Lewis Pullman) es un joven de 19 años muy curioso que se encuentra luchando por encontrar su lugar en un mundo que no termina de entender completamente. Para ayudarlo a superar su problema, Highston se imagina a un elenco de celebridades que cambian constantemente para brindarle consejo y hacerle sentir cómodo con el ambiente que lo rodea, para gran preocupación de su desconcertada, pero empática y extensa familia. Highston es una serie sobre este joven que se sumerge en un mundo creado por su propia imaginación.Highston es una serie producida por Amazon Studios, escrita por Bob Nelson (Nebraska) y dirigida por Jonathan Dayton y Valerie Faris (Pequeña Miss Sunshine). Sacha Baron Cohen (Borat), Todd Hoffman (El amor apesta) y Todd Schulman (Bruno) ejercen como productores ejecutivos de este proyecto. Protagonizada por el actor novato Lewis Pullman, los amigos imaginarios de Highston presentarán estrellas que van desde nombres como Shaquille O'Neal hasta el bajista de los Red Hot Chili Peppers, Flea.
";Comedia
2652;Hindenburg;"
Hindenburg es una 'TV movie' alemana. Hindenburg es el nombre que recibió el mayor dirigible del mundo. Era de origen alemán y un símbolo del crecimiento de esa nación. El dirgible funcionaba con helio no inflamable; pero tras el embargo de Estados Unidos de las exportaciones de este gas, los alemanas tuvieron que empezar a utilizar hidrógeno. El resultado fue catastrófico. Estando la nave en Nueva Jersey, en 1937, se incendió. A través de esta 'TV movie' se sigue a algunos de los pasajeros del Hindenburg, como un diseñador de aeronaves y un agente de la Gestapo, entre otros.
    
      ";Drama, Histórico, Acción
2653;Historias del más allá;"
Historias del más allá es una antología de terror producida por George A. Romero en 1983. La serie no sigue un hilo argumental a lo largo de todas sus temporadas, sino que cada capítulo narra historias completamente diferentes que solo tienen una cosa en común: el horror y el suspense. Así, podemos encontrar tanti historias de terror como otras ambientadas en un mundo de fantasía y algunas que rozan la ciencia ficción.La serie se emitió en Estados Unidos entre los años 1983 a 1988 y tuvo un total de 90 episodios. Surgió gracias al éxito que tuvieron una serie de películas de George A. Romero, que estaban basadas en cómics de la época. Además, Romero fue el guionista y productor del episodio piloto, titulado ""Truco o trato"", que fue protagonizado por la estrella de Hollywood Barnard Hughes.
    
      ";Drama, Terror, Ciencia ficción, Suspense
2654;Historias para no dormir;"
Historias para no dormir está compuesta por episodios de terror independientes, algunos originales escritos por Narciso Ibáñez Serrador, mientras que otros son adaptaciones de autores consagrados como Ray Bradbury o Edgar Allan Poe.La gama de temáticas que se pueden ver en los distintos episodios es muy variada, basándose tanto en tramas más clásicas como pueden ser tumbas profanadas en siniestros cementerios o misteriosos experimentos médicos, como en contenidos más originales como televisores.Esta serie de tres temporadases un clásico de la historia de la ficción española, producida y emitida por TVE entre los años 1966 y 1982.
";Terror
2655;Historias probables de Neil Gaiman (Likely Stories);"
    
              Ambientadas en Londres, estas cuatro historias están caracterizadas por ser oscuras y tenebrosas, con personajes muy bien construidos que mezclan su fuerte personalidad con su ingenio. El espectador viaja así a un mundo donde se mezcla la fantasía y la realidad y acompañará a los protagonistas en su curioso y extraño viaje.Neil Gaiman es el autor de la colección de cuentos Historias probables de Neil Gaiman (Likely Stories), que narran cuatro historias cortas de aproximadamente 30 minutos. Además, Gaiman aparece en cada capítulo para hacer guiños a los seguidores de su obra. La ficción cuenta con un reparto británico encabezado por George MacKay (Captain Fantastic), Tom Hughes (Cruce de caminos), Johnny Vegas (Ideal), Kenneth Cranham (Maléfica) y Rita Tushingham. Completan el reparto Monica Dolan, Paul Ritter y Montserrat Lombard. En el quipo de dirección se encuentran Iain Forsyth y Jane Pollard (20.000 días en la Tierra).
    
      ";Fantasía
2656;Hit & Miss;"
    
              Drama oscuro y ""políticamente incorrecto"" de Sky Atlantic en el que una asesina a sueldo transexual descubre que es madre de un niño. Mia (Chloë Sevigny, 'Dogville', 'Zodiac', 'American Psycho') es una asesina profesional a sueldo. Desde hace años trabaja para Eddie (Peter Wight, 'Mi semana con Marilyn', 'Another Year'), un gangster de Manchester, y emplea sus encantos para acercarse a sus víctimas y acabar con ellas. Sin embargo, Mia oculta un secreto: es transexual. En realidad nació como Ryan, un niño muy femenino y delicado que escapó de casa después de sufrir abusos por parte de su padre y hermano. Ryan comenzó a vivir con Wendy, una mujer con la que mantuvo una relación. Pero cuando descubrió lo que realmente iba mal en su interior, que en verdad era una mujer, la dejó y huyó en busca de una nueva vida.Actualmente, a Mia solo le queda operarse para ser una mujer completa. Sin embargo, su complicada vida se tambalea aún más al descubrir que cuando dejó a Wendy ésta estaba embarazada. El resultado es Ryan (Jorden Bennie). Ahora que Wendy ha muerto, Mia ha sido nombrada tutor legal del pequeño. Siguiendo su fuerte deseo de dejar atrás sus instintos asesinos, Mia se traslada con su nueva familia para tratar de convertirse en madre. Y es que Ryan no está solo. Con él viven Riley (Karla Crome) y Levi (Reece Noi, 'Silk'), sus medio hermanos mayores e hijos de Wendy, y su medio hermana menor, Leonie (Roma Christensen).Ahora Mia debe alternar su trabajo secreto como una mortífera asesina y su nueva vida familiar. Y ninguna de los dos carece de problemas, como la relación que la adolescente Riley tiene con su vecino John (Vincent Regan, '300', 'Blancanieves y la leyenda del cazador', 'Furia de titanes', 'Troya'), o el acoso que Ryan sufre del hijo de este mismo hombre. Su único apoyo será Ben (Jonas Armstrong, 'Robin Hood', 'Prisoners Wives'), un hombre al que conoce poco después de llegar a su nuevo hogar y que la ayudará a convertirse en la cabeza de familia que debe ser.
    
      ";Drama
2657;Hitched (Piloto);"
    
              Una pareja recién casada descubre, nada más regresar de su luna de miel, que su relación apenas ha comenzado...
    
      ";Comedia
2658;Hoke;"
'Hoke' gira en torno a a un detective de homicidios de Miami, Hoke Moseley, en el año 1985. La historia se centra en la crisis de edad del protagonista junto a los asesinatos que van ocurriendo en Miami.Este drama oscuro de FX está protagonizado y producido por Paul Giamatti ('12 años de esclavitud') junto a Scott Frank ('Assasin's Creed'), Curtis Hanson ('Persiguiendo Mavericks'), Carol Fenelon ('El gran año') y Dan Carey. Además en el reparto se encuentran los actores españoles Oona Chaplin ('Juego de Tronos', 'Dates') que interpreta a una joven detective de homicidios que hará pareja con Hoke, y Jordi Mollá ('Jamón, jamón') que interpreta a un sociópata.
";Comedia, Drama
2659;Holding Patterns;"
Holding Patterns es una sitcom encargada por la cadena americana NBC. Chyler Leigh, actriz conocida por su papel de Lexie Grey en la famosa serie Anatomía de Grey, es una de las principales protagonistas. Encarna a la joven Leah.La trama gira en torno a un grupo de amigos que sufren un siniestro accidente de avión, del que sobreviven, lo que hace que sus vidas se vean completamente trastornadas. Leah (Chyler Leigh) es una de las supervivientes. Es una joven bastante irresponsable,  despistada y vacilona que jamás llega puntual a los sitios. A pesar de que su vida se asemeje bastante al caos, ella sabe cómo seguir y salir adelante.El guión de la comedia ha sido desarrollado por el mismo guionista de The Office, Justin Spitzer. Rachel Kaplan (Do No Harm, Ringer) y Peter Traugott (Samantha Who?, Don´t answer the phone) han sido los encargados de la producción ejecutiva.
    
      ";Comedia
2660;Home and Away;"
Home and Away es una longeva serie australiana. La historia se centra en la vida de Tom Fletcher y su mujer, Pippa, la cual no se puede quedar embarazada. La pareja decide adoptar a varios niños, Frank, Carly, Steven, Lynn y Sally, e irse a vivir junto a ellos a Summer Bay. Poco después de su traslado, llega otra pequeña a la familia, Bobby. La ficción gira en torno a esta familia, las relaciones, los amores, los desamores, la confianza, las decepciones y todo aquellos por lo que pasan los distintos miembros de la casa.
    
      ";Teleserie
2661;Home: Adventures with Tip & Oh;"
Home: Adventures With Tip & Oh es una serie de animación digital del género de aventuras y con toque s de ciencia ficción producida por DreamWorks Animation para Netflix, basada en la película Home, desarrollada por el mismo estudio de animación y estrenada en 2015. Esta serie animada sirve, asimismo, como secuela de la cinta.Ambientada inmediatamente después de los eventos de la película, la serie sigue a la temeraria y aventurera Tip junto al excesivamente entusiasta Oh en nuevas aventuras que viven después de que el alienígena se mude a la casa de esta joven niña y empiece a vivir junto a su familia humana.Esta serie profundiza en la relación entre Tip y Oh, construyendo su historia alrededor de la duradera amistad de estos entrañables compañeros, a la vez que aprenden de la cultura del otro y encuentran grandes aventuras allá donde vayan.Matt Jones, quien presta su voz al personaje de Kyle es el único miembro del reparto original que participa en la serie. Así, el elenco lo completan Rachel Crow (Río 2) interpreta a Tip, mientras que Mark Whiten (Rolling-High) le da vida al extraterrestre Oh.
    
      ";Animación, Familia
2662;Homecoming;"
Homecoming es un drama que cuenta la historia de Heidi Bergman, una trabajadora de una agencia secreta gubernamental, y un soldado que quiere recuperar ambiciosamente su vida de civil. La serie es una adaptación basada en el podcast del mismo nombre de Gimlet Media.La ficción está protagonizada por Julia Roberts (The Normal Heart) y ha sido creada por Sam Esmail (Mr.Robot) con su productora Esmail Corp., que dirige este thriller psicológico en el que también participan como productores los creados del podcast original Eli Horowitz y Micah Bloomberg, Alicia Van Couvering; y Chris Giliberti, Alex Blumberg y Matt Lieber de Gimlet Media. Amazon Studios dispone de los derechos globales de la emisión de las dos temporadas compuestas de capítulos de media hora.
    
      ";Drama, Suspense
2663;Homicidio;"
    
              Basada en el libro de no ficción 'Homicide: A Year on the Killing Streets' del periodista David Simon ('The Wire', 'Treme'), 'Homicide: Life on the Street' sigue a la división de homicidios del departamento de policía de Baltimore en su persecución de criminales y psicópatas. La historia se centra en dos de esos policías, en sus claros y oscuros y en la lucha constante por no dejarse envolver por la oscuridad que rodea a su trabajo.El equipo está formado por los detectives Frank Pembleton (Andre Braugher, 'Men of a Certain Age'), Stan Bolander (Ned Beatty, 'Superman'), Kay Howard (Melissa Leo, 'The Fighter'), Meldrick Lewis (Clark Johnson, 'La sombra de la sospecha'), John Munch (Richard Belzer, 'Ley y Orden: Unidad de Víctimas Especiales'), Tim Bayliss (Kyle Secor, 'Durmiendo con su enemigo'), Beau Felton (Daniel Baldwin, 'Nacido el cuatro de julio') y Steve Crosetti (Jon Polito, 'El hombre que nunca estuvo allí'), así como por su comandante Al Giardello (Yaphet Kotto, 'Alien, el octavo pasajero').A lo largo de las siete temporadas, los detectives y sus compañeros se enfrentarán a la violencia de la dura y macabra ciudad de Baltimore, en la que tendrán que luchar contra el tráfico de drogas, los asesinatos y contra todo el que amenace la paz, la seguridad y el orden. Para muchos, la serie está considerada como el preludio de 'The Wire'.
    
      ";Drama, Crimen
2664;Hora de Aventuras;"
    
              'Hora de Aventuras' es una serie de dibujos que se centra en dos mejores amigos: Finn y Jake que viven en la ""Tierra de Ooo"". Finn es un niño de 13 años y es el hermano adoptivo de Jake además de su mejor amigo. Le gustan las aventuras y se proclama como un héroe para ayudar a todos los que lo necesiten y defender ""Ooo"", pero suele encontrarse casi siempre en problemas donde se requieren más razonamiento que fuerza. Jake es un perro mágico de 30 años amarillo con una gran capacidad de elasticidad y con poderes mágicos obtenidos, según él, por bañarse en un barro mágico que le permite manipular la forma, el tamaño y las dimensiones de cualquier parte de su cuerpo adotpando cualquier objeto que se le antoje.En ""Ooo"" viven varios personajes surrealistas y animales que hablan, donde la magia y la alta tecnología se unen para crear extraños y nuevos artefactos. Ellos se encargan de salvar a princesas, luchar contra el mal, explorar lugares desconocidos y ayudar a los más necesitados. El Rey de Hielo es el enemigo acérrimo de Finn que su crimen típico consiste en secuestrar a una princesa y obligarla a casarse con él, lo que Finn y Jake frustran cada vez. Mientras tanto, la Princesa Chicle es la princesa de la que está enamorado perdidamente Finn y gobierna chuchelandia.Emitida por Cartoon Network en España, 'Hora de Aventuras' está creada por Pendleton Ward y Mike Holmes.
    
      ";Aventura, Comedia, Animación
2665;Horace and Pete;"
    
              Ambientada en un bar de Brooklyn llamado 'Horace and Pete', esta serie sigue la vida de los dos hombres a los que les pertenece el mencionado bar: Horace (interpretado por Louie C.K.) y Pete (Steve Buscemi). Ellos son los octavos Horace y Pete en dirigir el local, el cual ha estado en funcionamiento desde hace más de 100 años. En dicho bar, su viejo tío Pete (Alan Alda) hace de camarero cascarrabias, explicando constantemente cómo él no es racista, mientras usa la palabra 'negrata' repetidamente.Horace está haciendo un trabajo horrible haciéndose cargo del bar y su hermana, Sylvia (Edie Falco), lo está demandando por el control de esta empresa familiar. El mismo Horace se encuentra  en conflicto con sus dos hijos por algo que hizo en el pasado y que parece involucrar a su actual novia Rachel (Rebecca Hall).Horace and Pete es una webserie creada por el reconocido y consagrado comediante ganador de 6 Premios Emmy, Louie C.K. (Louie), estrenada en su propia página web y cuyos episodios tienen una duración de más de una hora. Cada episodio tiene un precio de 5 dólares y puede ser adquirido con una cuenta de Paypal o vía Amazon.
    
      ";Comedia
2666;Horici ker / Burning Bush;"
    
              La serie está basada en hechos reales y se centra en Jan Palach, una estudiante de historia en Praga que se prendió fuego en 1969 por la ocupación soviética de Checoslovaquia. La abogada Dagmar Burešová fue parte de la defensa de la familia Palach en un juicio contra el gobierno comunista que intentaba deshonrar el acto de Jan Palach.'Hořící keř' o 'Burning Bush', es una miniserie compuesta por tres capítulos creada por HBO y dirigida por Agnieszka Holland. Uno de los protagonsitas, Ivan Trojan, fue galardonado con el premio Ninfa de Oro como mejor actor. La serie fue editada como película, sin embargo, la Academia de Artes y Ciencias Cinematográficas la descalificó alegando que había sido estrenada en televisión.El reparto está compuesto por Tatiana Pauhofová, Jaroslava Pokorná, Petr Stach, Vojtech Kotek, Patrik Dergel y Martin Huba entre otros.
    
      ";Histórico
2667;Horizon;"
Producida por la cadena americana USA Network, 'Horizon' es un drama que mezcla el género histórico con la ciencia ficción, en el que una mujer se verá convertida en la única mediadora entre la Tierra y una invasión alienígena. Con esta ficción, USA Network vuelve a abordar el género de la ciencia ficción desde 2007, cuando emitió 'Los 4400'.Durante la Segunda Guerra Mundial, una secretaria del FBI recibe una noticia trágica: su esposo ha muerto durante una batalla en el Pacífico Sur. Destrozada por lo sucedido, comenzará a pedir respuestas sobre lo que le ocurrió a su marido, y acabará descubriendo un secreto inconcebible: su marido no falleció luchando contra otros seres humanos, sino que cayó durante un enfrentamiento contra una nave alienígena.En su búsqueda de la verdad, la mujer acabará convirtiéndose en la única persona capaz de evitar una invasión alienígena a gran escala y salvar a la humanidad. Está producida por Gale Anne Hurd ('The Walking Dead') y con guión de Bridget Tyler ('Último aviso'). Además, el piloto estará dirigido por Yves Simoneau ('V (2009)'), la cual se encargó también del piloto de 'Los 4400'.
";Drama, Fantasía, Guerra, Histórico
2668;Horrid Henry;"
    
              Serie animada basada en la saga de libros de Horrid Henry. La ficción se centra en la vida de un joven niño egoísta llamado Henry. Normalmente, el protagonista debe  enfrentarse a un problema y tratar de resolverlo, a menudo de interesantes maneras que ponen en peligro a otras personas. Henry tiene un hermano, llamado Perfect Peter; que, por lo general, es lo opuesto a él.
    
      ";Animación
2669;Hospital Kingdom;"
    
              Kingdom Hospital no se parece a otros hospitales. Fue construido sobre las ruinas de dos horrorosos incendios. El primero tuvo lugar durante la Guerra Civil, donde pequeños niños que trabajaban en condiciones monstruosas murieron. El segundo incendio destruyó ""El Antiguo Kingdom Hospital"", un hospital espeluznante donde un siniestro doctor realizaba horribles experimentos en pacientes. Hoy, Kingdom Hospital es el sitio donde más extraños fenómenos paranormales ocurren y donde la muerta todavía vaga...
    
      ";Fantasía
2670;Hostal Royal Manzanares;"
    
              Remedios Martín (Lina Morgan) es una mujer de pueblo que llega a Madrid con su padre (Rafael Alonso) y su gallina Cristal (nombre que adopta por la protagonista de la telenovela con el mismo nombre) para instalarse en un hostal llevado por su tía Asunción (Mary Begoña). Allí tiene que convivir con su prima Elena (Mónica Pont), la prostituta Sonsoles (Ana Obregón), una anciana llamada Filomena (Tote García Ortega) y algunos más. Esta serie con estética teatral está grabada con público.La ficción se inspira en el sainete del siglo XX. Es una serie para Televisión Española dirigida por Sebastián Junyent y producida por Prime Time, de Valerio Lazarov. Fue estrenada el 15 de febrero de 1993.
    
      ";Comedia
2671;Hôtel de la plage;"
    
              Cada verano, cuatro familias se encuentran en el Hotel de la playa. Entre unas y otras decepciones, nada sale como está previsto. Víctor, que llega solo con su hijo Tom, no puede ocultar a sus amigos que está pasando un pequeño bache en su matrimonio. Sin embargo, no está feliz de encontrarse libre sólo para las fiestas. Ben llega al hotel con la intención de establecerse en el pueblo y así poder vivir más cerca de su hija Manon, ya que quiere tener la custodia compartida de la niña. Pero no le ha contado todo a Morgan, su ex. También está Kevin, que está pasando por la adolescencia y sufre cambios constantes que le traerán de cabeza.'Hotel de la plage' es una serie de televisión francesa. Está inspirada en la película 'The Beach hotel'.
    
      ";Comedia
2672;House of Cards (1990);"
    
              Miniserie británica de la BBC que sigue las manipulaciones de Francis Urquhart (Ian Richardson, 'El hombre de La Mancha', '102 dálmatas'), miembro del Parlamento, en sus intentos por alcanzar el puesto de Primer Ministro.Tras la renuncia de Margaret Thatcher, el partido conservador comienza a buscar un nuevo líder. Francis Urquhart introduce a los candidatos, y finalmente es elegido el correcto y siempre sincero Henry Collingridge (David Lyon). Sin embargo, las aspiraciones de Francis de ser ascendido se derrumban cuando Collingbridge decide no modificar el grupo de gobierno. A partir de ese momento, Francis decidirá que hará lo que sea por alcanzar el puesto que cree que merece, aunque tenga que manipular y mentir para conseguirlo.Pero sus negocios políticos no son sus únicas preocupaciones, y es que casi simultáneamente a estos hechos, Francis comienza una aventura con Mattie Storin (Susannah Harker), una joven periodista política, a la que intenta manipular para que el periódico donde trabaja el haga buena publicidad. Sin embargo, es un plan arriesgado: si se descubre su affaire, su matrimonio no es lo único que puede terminar mal, sino también su carrera política.
    
      ";Drama, Suspense
2673;House of Lies;"
    
              Creada por Matthew Carnahan ('Dirt') y dirigida por Stephen Hopkins ('24'), 'House of Lies' se centra en Marty, un brillante y astuto consultor de gestión de empresas que está dispuesto a hacer lo que sea, incluso a romper la ley, con tal de obtener información útil para sus clientes. El papel principal está interpretado por  Don Cheadle ('Hotel Rwanda', 'Crash', 'Iron Man 2'), mientras que Dawn Olivieri ('Héroes', 'Crónicas vampíricas') da vida a Mónica, su ex mujer, una joven un poco desequilibrada y enganchada a los medicamentos que se convertirá en su mayor rival al entrar a trabajar en un gabinete de gestión superior. Kristen Bell ('Paso de ti', 'Verónica Mars', 'Gossip Girl') se mete en la piel de Jeannie, una graduada en la competitiva universidad de Brown que se sentirá fuertemente atraída por Marty. Completan el reparto Ben Schwartz ('Parks and recreation', 'Los otros dos') y Josh Lawson ('Spaced', 'Romantically Challenged'), que dan vida a dos miembros del equipo de Marty, Clyde Oberholt y Doug, respectivamente. También actúan, entre otros, Anna Camp (Bethany Van Nuys en 'Mad Men' y también actriz de 'True Blood' o 'The Good Wife') y Griffin Dunne ('Daños y perjuicios', 'Mi chica', 'Jo, ¡qué noche!').
    
      ";Comedia
2674;House of Saddam;"
    
              El ascenso y la caída de una de las figuras políticas más importantes de la historia reciente: Sadam Hussein.
    
      ";Drama, Guerra, Histórico, Biografía
